tempo,entidade,variavel,valor,cenario
21,barra_32,PS,0.0,0
22,barra_32,PS,0.0,0
23,barra_32,PS,0.0,0
24,barra_32,PS,0.0,0
1,barra_33,PS,0.115425,0
2,barra_33,PS,0.0,0
3,barra_33,PS,0.119916,0
4,barra_33,PS,0.0,0
5,barra_33,PS,0.0,0
6,barra_33,PS,0.0,0
7,barra_33,PS,0.0,0
8,barra_33,PS,0.0,0
9,barra_33,PS,0.0,0
10,barra_33,PS,0.096437,0
11,barra_33,PS,0.096041,0
12,barra_33,PS,0.0,0
13,barra_33,PS,0.09411,0
14,barra_33,PS,0.0,0
15,barra_33,PS,0.090556,0
16,barra_33,PS,0.094444,0
17,barra_33,PS,0.0,0
18,barra_33,PS,0.107194,0
19,barra_33,PS,0.0,0
20,barra_33,PS,0.123239,0
21,barra_33,PS,0.0,0
22,barra_33,PS,0.128807,0
23,barra_33,PS,0.131972,0
24,barra_33,PS,0.0,0
1,barra_1,PW,0.0,0
2,barra_1,PW,0.0,0
3,barra_1,PW,0.0,0
4,barra_1,PW,0.0,0
5,barra_1,PW,0.119611,0
6,barra_1,PW,0.0,0
7,barra_1,PW,0.104228,0
8,barra_1,PW,0.0,0
9,barra_1,PW,0.098709,0
10,barra_1,PW,0.0,0
11,barra_1,PW,0.096041,0
12,barra_1,PW,0.095901,0
13,barra_1,PW,0.0,0
14,barra_1,PW,0.0,0
15,barra_1,PW,0.0,0
16,barra_1,PW,0.0,0
17,barra_1,PW,0.0,0
18,barra_1,PW,0.0,0
19,barra_1,PW,0.119811,0
20,barra_1,PW,0.123239,0
21,barra_1,PW,0.0,0
22,barra_1,PW,0.0,0
23,barra_1,PW,0.0,0
24,barra_1,PW,0.0,0
1,barra_2,PW,0.0,0
2,barra_2,PW,0.0,0
3,barra_2,PW,0.0,0
4,barra_2,PW,0.120783,0
5,barra_2,PW,0.119611,0
6,barra_2,PW,0.0,0
7,barra_2,PW,0.104228,0
8,barra_2,PW,0.102265,0
9,barra_2,PW,0.098709,0
10,barra_2,PW,0.0,0
11,barra_2,PW,0.096041,0
12,barra_2,PW,0.0,0
13,barra_2,PW,0.09411,0
14,barra_2,PW,0.0,0
15,barra_2,PW,0.090556,0
16,barra_2,PW,0.094444,0
17,barra_2,PW,0.0,0
18,barra_2,PW,0.0,0
19,barra_2,PW,0.0,0
20,barra_2,PW,0.0,0
21,barra_2,PW,0.124458,0
22,barra_2,PW,0.0,0
23,barra_2,PW,0.0,0
24,barra_2,PW,0.131671,0
1,barra_3,PW,0.0,0
2,barra_3,PW,0.0,0
3,barra_3,PW,0.0,0
